x,y
0.448051948,20.1552595
1.45946478,20.23386
4.19027942,20.6577505
5.30283353,20.7971851
5.90968123,20.8723103
8.33707202,21.2239663
9.44962613,21.383863
12.3827233,21.7998285
13.4952774,21.9699563
14.1021251,22.0450815
16.4283747,22.4166149
17.5409288,22.5765117
18.1477765,22.6311747
20.474026,23.0334014
21.5865801,23.2239913
22.1934278,23.217268
24.6208186,23.7223898
25.7333727,23.8925176
28.6664699,24.4005626
29.779024,24.6013836
32.7121212,25.1298906
33.8246753,25.3409426
34.431523,25.4262989
36.7577725,25.920605
37.8703266,26.0907328
38.4771743,26.1249337
40.8034238,26.7010883
41.915978,26.9223714
42.5228257,26.9361102
44.9502165,27.5640047
46.0627706,27.7852878
48.9958678,28.4365675
50.1084219,28.6680816
53.0415191,29.3705166
54.1540732,29.6224929
57.0871704,30.355621
58.1997245,30.6178283
58.8065722,30.7441088
61.1328217,31.3202633
62.2453758,31.5620085
62.8522235,31.7803684
65.178473,32.2746745
66.2910272,32.5368818
66.8978749,32.8166281
69.2241244,33.280241
70.3366785,33.5526794
73.4383445,34.354989
74.4834711,34.6611411
77.7055434,36.8662883
78.5898072,37.1157757
81.3610783,37.9339093
82.4736324,38.257503
85.4067296,39.2054833
86.5192837,39.5700011
89.3512397,40.5787831
90.4637938,41.0149183
91.0706415,41.171892
93.396891,42.2800613
94.5094451,42.7264276
97.341401,44.0319102
98.4539551,44.5192007
99.0608028,44.7068675
101.387052,45.9787337
102.499606,46.4967174
105.331562,48.0170521
106.444116,48.57596
107.050964,48.804551
109.276072,50.1986053
110.388627,50.8086685
110.995474,50.9656421
113.220582,52.5540864
114.333137,53.2255359
114.939984,53.4643579
117.165092,55.1346507
118.277647,55.8367934
121.109603,57.899374
122.222157,58.6424408
124.952971,60.8272095
126.065525,61.6623559
128.79634,64.0312835
129.858323,64.9060387
132.538567,67.4700871
133.600551,68.3939513
136.280795,71.1646671
137.342778,72.2419971
139.921881,75.1860562
140.983865,76.3145415
143.562967,79.524608
144.57438,80.7331716
147.001771,84.1177669
148.063754,85.4713354
150.440575,89.130399
151.451987,90.5515412
153.778237,94.4903024
154.78965,96.035354
157.014758,100.238401
157.9756,101.880924
160.048996,106.251338
160.959268,107.991494
162.982094,112.601315
163.892365,114.487629
165.81405,119.431567
166.62318,121.175524
168.443723,126.444809
169.252853,128.34837
170.820543,133.444312
171.629673,135.553517
173.146793,140.964283
173.955923,143.163522
175.32133,148.59842
176.07989,150.809871
